review_id,review_text,sentiment_label,sentiment_score,identified_themes,bank
1,the app is proactive and a good connections.,positive,0.9998679161071777,['Other'],Commercial Bank of Ethiopia
2,I cannot send to cbebirr app. through this app.,negative,-0.9953354001045227,['Other'],Commercial Bank of Ethiopia
3,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
4,not functional,negative,-0.999778687953949,['Other'],Commercial Bank of Ethiopia
5,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",negative,-0.9905162453651428,['Other'],Commercial Bank of Ethiopia
6,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,negative,-0.9616847634315491,['Other'],Commercial Bank of Ethiopia
7,best,positive,0.9997941851615906,['User Interface & Experience'],Commercial Bank of Ethiopia
8,bezabih,positive,0.9654072523117065,['Other'],Commercial Bank of Ethiopia
9,Best Mobile Banking app ever,positive,0.9997294545173645,['Other'],Commercial Bank of Ethiopia
10,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
11,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,negative,-0.9981192946434021,['Transaction Performance'],Commercial Bank of Ethiopia
12,Good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
13,👌👍,negative,-0.6970564723014832,['Other'],Commercial Bank of Ethiopia
14,very niec,neutral,0.5192604660987854,['Other'],Commercial Bank of Ethiopia
15,best app of finance,positive,0.9996503591537476,['Other'],Commercial Bank of Ethiopia
16,yetemeta,positive,0.6553673148155212,['Other'],Commercial Bank of Ethiopia
17,Engida Kebede Fetera,negative,-0.8396735787391663,['Other'],Commercial Bank of Ethiopia
18,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
19,it is not safety,negative,-0.9997867941856384,['Other'],Commercial Bank of Ethiopia
20,NICE bank,positive,0.9998055100440979,['User Interface & Experience'],Commercial Bank of Ethiopia
21,it is like a childish app make it better the worst I have ever seen,negative,-0.9997958540916443,['User Interface & Experience'],Commercial Bank of Ethiopia
22,"It's a problem solver application, go ahead CBE, I love so much.",positive,0.9997678399085999,['User Interface & Experience'],Commercial Bank of Ethiopia
23,It's good but try to make it facilitate for your client,positive,0.9491764903068542,['Other'],Commercial Bank of Ethiopia
24,best app,positive,0.999686598777771,['Other'],Commercial Bank of Ethiopia
25,Awesome bank,positive,0.9998461008071899,['Other'],Commercial Bank of Ethiopia
26,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,negative,-0.9983141422271729,"['Account Access Issues', 'Transaction Performance', 'User Interface & Experience', 'Feature Requests']",Commercial Bank of Ethiopia
27,Masha alla,negative,-0.9514626860618591,['Other'],Commercial Bank of Ethiopia
28,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,-0.9991102814674377,['Account Access Issues'],Commercial Bank of Ethiopia
29,better service,positive,0.9982219338417053,"['User Interface & Experience', 'Customer Support']",Commercial Bank of Ethiopia
30,"it,s good app and time manager 👍",positive,0.9998370409011841,['Other'],Commercial Bank of Ethiopia
31,malkaamuu Jiidhaa Namoo,negative,-0.9887813329696655,['Other'],Commercial Bank of Ethiopia
32,lower system everything,negative,-0.9993475079536438,['Other'],Commercial Bank of Ethiopia
33,Nice!,positive,0.999863862991333,['User Interface & Experience'],Commercial Bank of Ethiopia
34,Keep it up My CBE,positive,0.9996104836463928,['Other'],Commercial Bank of Ethiopia
35,yes good,positive,0.9998410940170288,['Other'],Commercial Bank of Ethiopia
36,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,-0.9996353387832642,"['Account Access Issues', 'Transaction Performance']",Commercial Bank of Ethiopia
37,i like everything of this app,positive,0.9996908903121948,['Other'],Commercial Bank of Ethiopia
38,good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
39,🤬🤬🤬🤬 network 🛜,negative,-0.6856122612953186,['Other'],Commercial Bank of Ethiopia
40,Best,positive,0.9997941851615906,['User Interface & Experience'],Commercial Bank of Ethiopia
41,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,0.9982792139053345,"['User Interface & Experience', 'Customer Support']",Commercial Bank of Ethiopia
42,nice,positive,0.9998552799224854,['User Interface & Experience'],Commercial Bank of Ethiopia
43,good job,positive,0.999835729598999,['Other'],Commercial Bank of Ethiopia
44,Good,positive,0.9998161196708679,['Other'],Commercial Bank of Ethiopia
45,it's awesome!!,positive,0.999871015548706,['Other'],Commercial Bank of Ethiopia
46,best,positive,0.9997941851615906,['User Interface & Experience'],Commercial Bank of Ethiopia
47,thankyou every one,positive,0.9998461008071899,['Customer Support'],Commercial Bank of Ethiopia
48,best app,positive,0.999686598777771,['Other'],Commercial Bank of Ethiopia
49,Ronaldo 🇵🇹 🥇,positive,0.9948286414146423,['Other'],Commercial Bank of Ethiopia
