review_id,review_text,sentiment_label,sentiment_score,identified_themes
1,the app is proactive and a good connections.,positive,0.9998679161071777,['Other']
2,I cannot send to cbebirr app. through this app.,negative,-0.9953354001045227,['Other']
3,good,positive,0.9998161196708679,['Other']
4,not functional,negative,-0.999778687953949,['Other']
5,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",negative,-0.9905162453651428,['Other']
6,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,negative,-0.9616847634315491,['Other']
7,best,positive,0.9997941851615906,['User Interface & Experience']
8,bezabih,positive,0.9654072523117065,['Other']
9,Best Mobile Banking app ever,positive,0.9997294545173645,['Other']
10,good,positive,0.9998161196708679,['Other']
11,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,negative,-0.9981192946434021,['Transaction Performance']
12,Good,positive,0.9998161196708679,['Other']
13,👌👍,negative,-0.6970564723014832,['Other']
14,very niec,neutral,0.5192604660987854,['Other']
15,best app of finance,positive,0.9996503591537476,['Other']
16,yetemeta,positive,0.6553673148155212,['Other']
17,Engida Kebede Fetera,negative,-0.8396735787391663,['Other']
18,good,positive,0.9998161196708679,['Other']
19,it is not safety,negative,-0.9997867941856384,['Other']
20,NICE bank,positive,0.9998055100440979,['User Interface & Experience']
21,it is like a childish app make it better the worst I have ever seen,negative,-0.9997958540916443,['User Interface & Experience']
22,"It's a problem solver application, go ahead CBE, I love so much.",positive,0.9997678399085999,['User Interface & Experience']
23,It's good but try to make it facilitate for your client,positive,0.9491764903068542,['Other']
24,best app,positive,0.999686598777771,['Other']
25,Awesome bank,positive,0.9998461008071899,['Other']
26,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,negative,-0.9983141422271729,"['Account Access Issues', 'Transaction Performance', 'User Interface & Experience', 'Feature Requests']"
27,Masha alla,negative,-0.9514626860618591,['Other']
28,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,-0.9991102814674377,['Account Access Issues']
29,better service,positive,0.9982219338417053,"['User Interface & Experience', 'Customer Support']"
30,"it,s good app and time manager 👍",positive,0.9998370409011841,['Other']
31,malkaamuu Jiidhaa Namoo,negative,-0.9887813329696655,['Other']
32,lower system everything,negative,-0.9993475079536438,['Other']
33,Nice!,positive,0.999863862991333,['User Interface & Experience']
34,Keep it up My CBE,positive,0.9996104836463928,['Other']
35,yes good,positive,0.9998410940170288,['Other']
36,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,-0.9996353387832642,"['Account Access Issues', 'Transaction Performance']"
37,i like everything of this app,positive,0.9996908903121948,['Other']
38,good,positive,0.9998161196708679,['Other']
39,🤬🤬🤬🤬 network 🛜,negative,-0.6856122612953186,['Other']
40,Best,positive,0.9997941851615906,['User Interface & Experience']
41,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,0.9982792139053345,"['User Interface & Experience', 'Customer Support']"
42,nice,positive,0.9998552799224854,['User Interface & Experience']
